candidate_id,smiles,provenance,canonical_smiles,contract_valid,rejection_reasons,ad_max_morgan_tanimoto,ad_status,morphology_family,molecular_weight,ring_count,sp3_fraction,heteroatom_count
rnn-1101-01107,[N-]=[N+]=Nc1ccccc1C(CNC(C)C)C(OC)=O,smiles-rnn-promptsmiles,COC(=O)C(CNC(C)C)c1ccccc1N=[N+]=[N-],true,,0.450980,in_domain,flexible_sp3_rich,262.313,1,0.3684,6
rnn-1101-01125,[N-]=[N+]=Nc1ccccc1C1OC(CO)C(O)C(O)C1O,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1C1OC(CO)C(O)C(O)C1O,true,,0.431818,in_domain,flexible_sp3_rich,281.268,2,0.5500,8
rnn-1101-01254,[N-]=[N+]=Nc1ccccc1C1CC1C,smiles-rnn-promptsmiles,CC1CC1c1ccccc1N=[N+]=[N-],true,,0.571429,in_domain,diaryl_or_bicyclic,173.219,2,0.3077,3
rnn-1101-01383,[N-]=[N+]=Nc1ccccc1CCC=CC,smiles-rnn-promptsmiles,CC=CCCc1ccccc1N=[N+]=[N-],true,,0.666667,in_domain,simple_aryl_tether,187.246,1,0.2143,3
rnn-1101-01401,[N-]=[N+]=Nc1ccccc1C1(C)COS(=O)(=O)CC1,smiles-rnn-promptsmiles,CC1(c2ccccc2N=[N+]=[N-])CCS(=O)(=O)OC1,true,,0.436364,in_domain,flexible_sp3_rich,267.310,2,0.3889,7
rnn-1101-01450,[N-]=[N+]=Nc1ccccc1CCC(Nc1cc(C)cc(C)c1)=O,smiles-rnn-promptsmiles,Cc1cc(C)cc(NC(=O)CCc2ccccc2N=[N+]=[N-])c1,true,,0.595745,in_domain,heteroatom_rich,294.358,2,0.1818,5
rnn-1101-01454,[N-]=[N+]=Nc1ccccc1CCCC,smiles-rnn-promptsmiles,CCCCc1ccccc1N=[N+]=[N-],true,,1.000000,in_domain,simple_aryl_tether,175.235,1,0.3077,3
rnn-1101-01486,[N-]=[N+]=Nc1ccccc1C(C)[N+](C)(C)C,smiles-rnn-promptsmiles,CC(c1ccccc1N=[N+]=[N-])[N+](C)(C)C,true,,0.439024,in_domain,flexible_sp3_rich,205.285,1,0.4000,4
rnn-1101-01526,[N-]=[N+]=Nc1ccccc1C(C)c1cccnc1,smiles-rnn-promptsmiles,CC(c1cccnc1)c1ccccc1N=[N+]=[N-],true,,0.434783,in_domain,diaryl_or_bicyclic,224.267,2,0.1176,4
rnn-1101-01577,[N-]=[N+]=Nc1ccccc1C(C)(C)c1ccccc1,smiles-rnn-promptsmiles,CC(C)(c1ccccc1)c1ccccc1N=[N+]=[N-],true,,0.422222,in_domain,diaryl_or_bicyclic,237.306,2,0.1667,3
rnn-1101-01584,[N-]=[N+]=Nc1ccccc1CCNC(=O)c1ccc([N+]([O-])=O)cc1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCNC(=O)c1ccc([N+](=O)[O-])cc1,true,,0.471698,in_domain,heteroatom_rich,311.301,2,0.0870,8
rnn-1101-01622,[N-]=[N+]=Nc1ccccc1C1CC1C(F)(F)F,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1C1CC1C(F)(F)F,true,,0.526316,in_domain,flexible_sp3_rich,227.189,2,0.4375,6
rnn-1101-01717,[N-]=[N+]=Nc1ccccc1C(O)C(CO)O,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1C(O)C(O)CO,true,,0.400000,in_domain,flexible_sp3_rich,209.205,1,0.4000,6
rnn-1101-01726,[N-]=[N+]=Nc1ccccc1C(NC(=O)C1CC1)C,smiles-rnn-promptsmiles,CC(NC(=O)C1CC1)c1ccccc1N=[N+]=[N-],true,,0.384615,in_domain,heteroatom_rich,230.271,2,0.2941,5
rnn-1101-01761,[N-]=[N+]=Nc1ccccc1C1CC(C)N(C)C1=O,smiles-rnn-promptsmiles,CC1CC(c2ccccc2N=[N+]=[N-])C(=O)N1C,true,,0.454545,in_domain,heteroatom_rich,230.271,2,0.2941,5
rnn-1101-01794,[N-]=[N+]=Nc1ccccc1CCC(=O)Nc1cc(Br)ccc1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCC(=O)Nc1cccc(Br)c1,true,,0.571429,in_domain,heteroatom_rich,345.200,2,0.1429,6
rnn-1101-02359,[N-]=[N+]=Nc1ccccc1C(CNC(C)(C)C)O,smiles-rnn-promptsmiles,CC(C)(C)NCC(O)c1ccccc1N=[N+]=[N-],true,,0.386364,in_domain,flexible_sp3_rich,234.303,1,0.4706,5
rnn-1101-02372,[N-]=[N+]=Nc1ccccc1CCN1CCN(c2c3c(no2)cccc3)CC1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCN1CCN(c2onc3ccccc23)CC1,true,,0.418182,in_domain,fused_or_polycyclic,348.410,4,0.2692,7
rnn-1101-02467,[N-]=[N+]=Nc1ccccc1CCCCCC,smiles-rnn-promptsmiles,CCCCCCc1ccccc1N=[N+]=[N-],true,,0.870968,in_domain,flexible_sp3_rich,203.289,1,0.4000,3
rnn-1101-02526,[N-]=[N+]=Nc1ccccc1C1N(C)CCC1,smiles-rnn-promptsmiles,CN1CCCC1c1ccccc1N=[N+]=[N-],true,,0.564103,in_domain,flexible_sp3_rich,202.261,2,0.4000,4
rnn-1101-02583,[N-]=[N+]=Nc1ccccc1CCC(=O)N1CCCCC1C,smiles-rnn-promptsmiles,CC1CCCCN1C(=O)CCc1ccccc1N=[N+]=[N-],true,,0.519231,in_domain,flexible_sp3_rich,272.352,2,0.4000,5
rnn-1101-02610,[N-]=[N+]=Nc1ccccc1CCN1CCC2(N(c3ccccc3)CNC2=O)CC1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCN1CCC2(CC1)C(=O)NCN2c1ccccc1,true,,0.400000,in_domain,fused_or_polycyclic,376.464,4,0.3214,7
rnn-1101-02612,[N-]=[N+]=Nc1ccccc1CCN(C)Cc1ccccc1,smiles-rnn-promptsmiles,CN(CCc1ccccc1N=[N+]=[N-])Cc1ccccc1,true,,0.631579,in_domain,diaryl_or_bicyclic,266.348,2,0.2500,4
rnn-1101-02658,[N-]=[N+]=Nc1ccccc1CCC[N+](C)(C)C,smiles-rnn-promptsmiles,C[N+](C)(C)CCCc1ccccc1N=[N+]=[N-],true,,0.685714,in_domain,flexible_sp3_rich,219.312,1,0.4375,4
rnn-1101-02795,[N-]=[N+]=Nc1ccccc1CCC(=O)NO,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCC(=O)NO,true,,0.675000,in_domain,heteroatom_rich,206.205,1,0.2000,6
rnn-1101-02812,[N-]=[N+]=Nc1ccccc1C1(c2ccccc2)CCC(OC)CC1,smiles-rnn-promptsmiles,COC1CCC(c2ccccc2)(c2ccccc2N=[N+]=[N-])CC1,true,,0.410714,in_domain,fused_or_polycyclic,307.397,3,0.3478,4
rnn-1101-02923,[N-]=[N+]=Nc1ccccc1C1ON(Cc2ccccc2)CC1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1C1CCN(Cc2ccccc2)O1,true,,0.456522,in_domain,fused_or_polycyclic,280.331,3,0.2857,5
rnn-1101-03001,[N-]=[N+]=Nc1ccccc1C1CCCCC1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1C1CCCCC1,true,,0.964286,in_domain,flexible_sp3_rich,201.273,2,0.4000,3
rnn-1101-03016,[N-]=[N+]=Nc1ccccc1C1CC(=O)c2c(cc(OC)c(OC)c2)C1,smiles-rnn-promptsmiles,COc1cc2c(cc1OC)C(=O)CC(c1ccccc1N=[N+]=[N-])C2,true,,0.448980,in_domain,fused_or_polycyclic,323.352,3,0.2083,6
rnn-1101-03287,[N-]=[N+]=Nc1ccccc1CCC1=NCCN1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCC1=NCCN1,true,,0.545455,in_domain,heteroatom_rich,215.260,2,0.2500,5
rnn-1101-03311,[N-]=[N+]=Nc1ccccc1C1CC1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1C1CC1,true,,0.857143,in_domain,diaryl_or_bicyclic,159.192,2,0.2500,3
rnn-1101-03320,[N-]=[N+]=Nc1ccccc1CCC1=NCCS1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCC1=NCCS1,true,,0.536585,in_domain,heteroatom_rich,232.312,2,0.3125,5
rnn-1101-03338,[N-]=[N+]=Nc1ccccc1C1CCCC1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1C1CCCC1,true,,1.000000,in_domain,flexible_sp3_rich,187.246,2,0.3571,3
rnn-1101-03369,[N-]=[N+]=Nc1ccccc1CCC(Nc1ccncc1)=O,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCC(=O)Nc1ccncc1,true,,0.574468,in_domain,heteroatom_rich,267.292,2,0.1000,6
rnn-1101-03461,[N-]=[N+]=Nc1ccccc1CCc1ccccc1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCc1ccccc1,true,,1.000000,in_domain,diaryl_or_bicyclic,223.279,2,0.1176,3
rnn-1101-03494,[N-]=[N+]=Nc1ccccc1C1CCC1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1C1CCC1,true,,0.928571,in_domain,diaryl_or_bicyclic,173.219,2,0.3077,3
rnn-1101-03605,[N-]=[N+]=Nc1ccccc1C(C)Oc1ccc(Br)cc1,smiles-rnn-promptsmiles,CC(Oc1ccc(Br)cc1)c1ccccc1N=[N+]=[N-],true,,0.380000,in_domain,heteroatom_rich,318.174,2,0.1579,5
rnn-1101-03758,[N-]=[N+]=Nc1ccccc1CCN1CC(O)CCC1=O,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCN1CC(O)CCC1=O,true,,0.489796,in_domain,flexible_sp3_rich,260.297,2,0.3684,6
rnn-1101-03952,[N-]=[N+]=Nc1ccccc1CCN(C)C,smiles-rnn-promptsmiles,CN(C)CCc1ccccc1N=[N+]=[N-],true,,0.666667,in_domain,flexible_sp3_rich,190.250,1,0.3571,4
rnn-1101-04289,[N-]=[N+]=Nc1ccccc1CCNS(=O)(C)=O,smiles-rnn-promptsmiles,CS(=O)(=O)NCCc1ccccc1N=[N+]=[N-],true,,0.578947,in_domain,heteroatom_rich,240.288,1,0.3125,7
rnn-1101-04357,[N-]=[N+]=Nc1ccccc1-c1cc([N+]([O-])=O)c(CC)cc1,smiles-rnn-promptsmiles,CCc1ccc(-c2ccccc2N=[N+]=[N-])cc1[N+](=O)[O-],true,,0.404255,in_domain,heteroatom_rich,268.276,2,0.1000,6
rnn-1101-04423,[N-]=[N+]=Nc1ccccc1C(C)S(=O)(c1ccc2c(c1)OCO2)=O,smiles-rnn-promptsmiles,CC(c1ccccc1N=[N+]=[N-])S(=O)(=O)c1ccc2c(c1)OCO2,true,,0.413793,in_domain,fused_or_polycyclic,331.353,3,0.1739,8
rnn-1101-04519,[N-]=[N+]=Nc1ccccc1CCc1nc(N)nn1-c1ccccc1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCc1nc(N)nn1-c1ccccc1,true,,0.511111,in_domain,fused_or_polycyclic,305.345,3,0.0870,7
rnn-1101-04528,[N-]=[N+]=Nc1ccccc1C1OC(CO)C(OC(=O)C)C(OC(=O)C)C1OC(=O)C,smiles-rnn-promptsmiles,CC(=O)OC1C(CO)OC(c2ccccc2N=[N+]=[N-])C(OC(C)=O)C1OC(C)=O,true,,0.368421,in_domain,flexible_sp3_rich,407.379,2,0.3793,11
rnn-1101-04552,[N-]=[N+]=Nc1ccccc1C(CNC(C)C)O,smiles-rnn-promptsmiles,CC(C)NCC(O)c1ccccc1N=[N+]=[N-],true,,0.413043,in_domain,flexible_sp3_rich,220.276,1,0.4375,5
rnn-1101-04710,[N-]=[N+]=Nc1ccccc1CCC(Nc1ccc(S(=O)(=O)N)cc1Cl)=O,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCC(=O)Nc1ccc(S(N)(=O)=O)cc1Cl,true,,0.473684,in_domain,heteroatom_rich,379.829,2,0.2000,10
rnn-1101-04816,[N-]=[N+]=Nc1ccccc1CCCN(C)C,smiles-rnn-promptsmiles,CN(C)CCCc1ccccc1N=[N+]=[N-],true,,0.685714,in_domain,flexible_sp3_rich,204.277,1,0.4000,4
rnn-1101-04916,[N-]=[N+]=Nc1ccccc1Nc1c(C)cccc1CC,smiles-rnn-promptsmiles,CCc1cccc(C)c1Nc1ccccc1N=[N+]=[N-],true,,0.511628,in_domain,diaryl_or_bicyclic,252.321,2,0.1579,4
rnn-1101-04948,[N-]=[N+]=Nc1ccccc1CCc1nc(O)cc(O)n1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCc1nc(O)cc(O)n1,true,,0.564103,in_domain,heteroatom_rich,257.253,2,0.1053,7
rnn-1101-05118,[N-]=[N+]=Nc1ccccc1CCCNC(=O)C,smiles-rnn-promptsmiles,CC(=O)NCCCc1ccccc1N=[N+]=[N-],true,,0.600000,in_domain,heteroatom_rich,218.260,1,0.2500,5
rnn-1101-05120,[N-]=[N+]=Nc1ccccc1C1CC2CCC1N2,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1C1CC2CCC1N2,true,,0.512195,in_domain,fused_or_polycyclic,214.272,3,0.4375,4
rnn-1101-05200,[N-]=[N+]=Nc1ccccc1C(C)(C)c1ccncc1,smiles-rnn-promptsmiles,CC(C)(c1ccncc1)c1ccccc1N=[N+]=[N-],true,,0.380952,in_domain,diaryl_or_bicyclic,238.294,2,0.1667,4
rnn-1101-05248,[N-]=[N+]=Nc1ccccc1CCC(O)(C(F)(F)F)C(F)(F)F,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCC(O)(C(F)(F)F)C(F)(F)F,true,,0.558140,in_domain,flexible_sp3_rich,313.201,1,0.5714,10
rnn-1101-05396,[N-]=[N+]=Nc1ccccc1C(C)Nc1c(C(=O)O)cccc1,smiles-rnn-promptsmiles,CC(Nc1ccccc1C(=O)O)c1ccccc1N=[N+]=[N-],true,,0.377358,in_domain,heteroatom_rich,282.303,2,0.0952,6
rnn-1101-05480,[N-]=[N+]=Nc1ccccc1CCC(C)=O,smiles-rnn-promptsmiles,CC(=O)CCc1ccccc1N=[N+]=[N-],true,,0.722222,in_domain,simple_aryl_tether,189.218,1,0.2143,4
rnn-1101-05547,[N-]=[N+]=Nc1ccccc1C1CC=CCC1C(=O)O,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1C1CC=CCC1C(=O)O,true,,0.465116,in_domain,heteroatom_rich,243.266,2,0.2222,5
rnn-1101-05552,[N-]=[N+]=Nc1ccccc1S(Nc1ccccc1CC)(=O)=O,smiles-rnn-promptsmiles,CCc1ccccc1NS(=O)(=O)c1ccccc1N=[N+]=[N-],true,,0.477273,in_domain,heteroatom_rich,302.359,2,0.1429,7
rnn-1101-05605,[N-]=[N+]=Nc1ccccc1CCN(C)C1c2cc(-c3nnc(N)s3)ccc2CC1,smiles-rnn-promptsmiles,CN(CCc1ccccc1N=[N+]=[N-])C1CCc2ccc(-c3nnc(N)s3)cc21,true,,0.363636,in_domain,fused_or_polycyclic,391.504,4,0.2500,8
rnn-1101-05768,[N-]=[N+]=Nc1ccccc1C(C)(C)N(CC)CC,smiles-rnn-promptsmiles,CCN(CC)C(C)(C)c1ccccc1N=[N+]=[N-],true,,0.461538,in_domain,flexible_sp3_rich,232.331,1,0.4706,4
rnn-1101-05779,[N-]=[N+]=Nc1ccccc1OCC(=O)Nc1c(CC)cccc1,smiles-rnn-promptsmiles,CCc1ccccc1NC(=O)COc1ccccc1N=[N+]=[N-],true,,0.461538,in_domain,heteroatom_rich,296.330,2,0.1364,6
rnn-1101-05782,[N-]=[N+]=Nc1ccccc1C(C)(C)NC(c1c(C(O)=O)cccc1)=O,smiles-rnn-promptsmiles,CC(C)(NC(=O)c1ccccc1C(=O)O)c1ccccc1N=[N+]=[N-],true,,0.377358,in_domain,heteroatom_rich,324.340,2,0.1250,7
rnn-1101-05837,[N-]=[N+]=Nc1ccccc1CC(N)C,smiles-rnn-promptsmiles,CC(N)Cc1ccccc1N=[N+]=[N-],true,,0.666667,in_domain,simple_aryl_tether,176.223,1,0.3077,4
rnn-1101-06067,[N-]=[N+]=Nc1ccccc1C1CCC(=O)OC1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1C1CCC(=O)OC1,true,,0.575000,in_domain,heteroatom_rich,217.228,2,0.2500,5
rnn-1101-06127,[N-]=[N+]=Nc1ccccc1CCNC,smiles-rnn-promptsmiles,CNCCc1ccccc1N=[N+]=[N-],true,,0.666667,in_domain,simple_aryl_tether,176.223,1,0.3077,4
rnn-1101-06135,[N-]=[N+]=Nc1ccccc1C1SCCC1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1C1CCCS1,true,,0.594595,in_domain,flexible_sp3_rich,205.286,2,0.3571,4
rnn-1101-06137,[N-]=[N+]=Nc1ccccc1C(C#N)(C)S,smiles-rnn-promptsmiles,CC(S)(C#N)c1ccccc1N=[N+]=[N-],true,,0.390244,in_domain,heteroatom_rich,204.258,1,0.2143,5
rnn-1101-06140,[N-]=[N+]=Nc1ccccc1C(C)N(Cc1ccccc1Cl)C,smiles-rnn-promptsmiles,CC(c1ccccc1N=[N+]=[N-])N(C)Cc1ccccc1Cl,true,,0.522727,in_domain,heteroatom_rich,300.793,2,0.2857,5
rnn-1101-06291,[N-]=[N+]=Nc1ccccc1CCC(Nc1cc(Cl)ccc1C)=O,smiles-rnn-promptsmiles,Cc1ccc(Cl)cc1NC(=O)CCc1ccccc1N=[N+]=[N-],true,,0.538462,in_domain,heteroatom_rich,314.776,2,0.1818,6
rnn-1101-06412,[N-]=[N+]=Nc1ccccc1CCN1C(=O)SC(=Cc2ccco2)C1=O,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCN1C(=O)SC(=Cc2ccco2)C1=O,true,,0.464286,in_domain,fused_or_polycyclic,340.364,3,0.1250,8
rnn-1101-06583,[N-]=[N+]=Nc1ccccc1CC(C)C,smiles-rnn-promptsmiles,CC(C)Cc1ccccc1N=[N+]=[N-],true,,0.705882,in_domain,simple_aryl_tether,175.235,1,0.3077,3
rnn-1101-06748,[N-]=[N+]=Nc1ccccc1CCN1CCCC1=O,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCN1CCCC1=O,true,,0.489362,in_domain,heteroatom_rich,230.271,2,0.2941,5
rnn-1101-06872,[N-]=[N+]=Nc1ccccc1C(C)c1ccccc1,smiles-rnn-promptsmiles,CC(c1ccccc1)c1ccccc1N=[N+]=[N-],true,,0.552632,in_domain,diaryl_or_bicyclic,223.279,2,0.1176,3
rnn-1101-07008,[N-]=[N+]=Nc1ccccc1C(C)(C)OCC,smiles-rnn-promptsmiles,CCOC(C)(C)c1ccccc1N=[N+]=[N-],true,,0.461538,in_domain,flexible_sp3_rich,205.261,1,0.4000,4
rnn-1101-07195,[N-]=[N+]=Nc1ccccc1CCC(OCC)=O,smiles-rnn-promptsmiles,CCOC(=O)CCc1ccccc1N=[N+]=[N-],true,,1.000000,in_domain,heteroatom_rich,219.244,1,0.2500,5
rnn-1101-07387,[N-]=[N+]=Nc1ccccc1C(C)n1cncc1,smiles-rnn-promptsmiles,CC(c1ccccc1N=[N+]=[N-])n1ccnc1,true,,0.367347,in_domain,heteroatom_rich,213.244,2,0.1250,5
rnn-1101-07410,[N-]=[N+]=Nc1ccccc1C(C)(C)NCC1CCCO1,smiles-rnn-promptsmiles,CC(C)(NCC1CCCO1)c1ccccc1N=[N+]=[N-],true,,0.388889,in_domain,flexible_sp3_rich,260.341,2,0.5263,5
rnn-1101-07457,[N-]=[N+]=Nc1ccccc1C1CC2CCC(C1)N2,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1C1CC2CCC(C1)N2,true,,0.638889,in_domain,fused_or_polycyclic,228.299,3,0.4706,4
rnn-1101-07508,[N-]=[N+]=Nc1ccccc1CCN1C(C)(C)CCCC1=O,smiles-rnn-promptsmiles,CC1(C)CCCC(=O)N1CCc1ccccc1N=[N+]=[N-],true,,0.468085,in_domain,flexible_sp3_rich,272.352,2,0.4000,5
rnn-1101-07541,[N-]=[N+]=Nc1ccccc1C1(O)CC2CCN(Cc3ccccc3Cl)C2C1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1C1(O)CC2CCN(Cc3ccccc3Cl)C2C1,true,,0.410714,in_domain,fused_or_polycyclic,368.868,4,0.4231,6
rnn-1101-07669,[N-]=[N+]=Nc1ccccc1CCCCN1CCN(c2ncccc2)CC1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCCCN1CCN(c2ccccn2)CC1,true,,0.509804,in_domain,fused_or_polycyclic,336.443,3,0.3600,6
rnn-1101-07671,[N-]=[N+]=Nc1ccccc1CCC1CCCCC1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCC1CCCCC1,true,,1.000000,in_domain,flexible_sp3_rich,229.327,2,0.4706,3
rnn-1101-07674,[N-]=[N+]=Nc1ccccc1C1CCC(C)N(C)C1C,smiles-rnn-promptsmiles,CC1CCC(c2ccccc2N=[N+]=[N-])C(C)N1C,true,,0.500000,in_domain,flexible_sp3_rich,244.342,2,0.5000,4
rnn-1101-07865,[N-]=[N+]=Nc1ccccc1CCC(C)=NO,smiles-rnn-promptsmiles,CC(CCc1ccccc1N=[N+]=[N-])=NO,true,,0.702703,in_domain,heteroatom_rich,204.233,1,0.2000,5
rnn-1101-07938,[N-]=[N+]=Nc1ccccc1C1(C)OC(OCC)=C(C(=O)OC)C1c1cccs1,smiles-rnn-promptsmiles,CCOC1=C(C(=O)OC)C(c2cccs2)C(C)(c2ccccc2N=[N+]=[N-])O1,true,,0.363636,in_domain,fused_or_polycyclic,385.445,3,0.2222,8
rnn-1101-07965,[N-]=[N+]=Nc1ccccc1CCc1cnccc1,smiles-rnn-promptsmiles,[N-]=[N+]=Nc1ccccc1CCc1cccnc1,true,,0.694444,in_domain,diaryl_or_bicyclic,224.267,2,0.1176,4
