manual_row,source_entry_raw,substrate_id,product_id,azide_smiles,nitrene_smiles,azide_position,removed_species,retained_atom,intermediate_scope,validation_status
15,o,1o,2o,N#N=Nc1ccccc1CCc2ccoc2,[N]c1ccccc1CCc2ccoc2,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
16,p,1p,2p,N#N=Nc1ccccc1CCc3cc2ccccc2o3,[N]c1ccccc1CCc3cc2ccccc2o3,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
17,q,1q,2q,N#N=Nc1ccccc1CCc3ccc2occc2c3,[N]c1ccccc1CCc3ccc2occc2c3,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
18,r,1r,2r,N#N=Nc1ccccc1CCc3ccc2OCCc2c3,[N]c1ccccc1CCc3ccc2OCCc2c3,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
19,s,1s,2s,N#N=Nc1ccccc1CCc2cccc3OCOc23,[N]c1ccccc1CCc2cccc3OCOc23,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
20,t,1t,2t,N#N=Nc1ccccc1CCc3ccc2OCCOc2c3,[N]c1ccccc1CCc3ccc2OCCOc2c3,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
21,U,1u,2u,N#N=Nc1ccccc1CCc3ccc2C(=O)OCc2c3,[N]c1ccccc1CCc3ccc2C(=O)OCc2c3,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
22,V,1v,2v,N#N=Nc1ccccc1CCc2ccsc2,[N]c1ccccc1CCc2ccsc2,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
23,W,1w,2w,N#N=Nc1ccccc1CCc3cc2ccccc2s3,[N]c1ccccc1CCc3cc2ccccc2s3,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
24,X,1x,2x,N#N=Nc1ccccc1CCc2csc3ccccc23,[N]c1ccccc1CCc2csc3ccccc23,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
25,Y,1y,2y,N#N=Nc1ccccc1CCc3ccc2SCCc2c3,[N]c1ccccc1CCc3ccc2SCCc2c3,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
26,Z,1z,2z,N#N=Nc1ccccc1CCc2ccccn2,[N]c1ccccc1CCc2ccccn2,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
27,Aa,1aa,2aa,N#N=Nc1ccccc1CCc2ccnc(Cl)c2,[N]c1ccccc1CCc2ccnc(Cl)c2,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
28,ab,1ab,2ab,N#N=Nc1cccnc1CCc2ccccc2,[N]c1cccnc1CCc2ccccc2,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
29,ac,1ac,2ac,C[Si](C)(C)CCCc1ccccc1N=N#N,C[Si](C)(C)CCCc1ccccc1[N],suffix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
30,ad,1ad,2ad,N#N=Nc1ccccc1SCc2ccccc2,[N]c1ccccc1SCc2ccccc2,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
31,ae,1ae,2ae,COC(=O)CCc1ccccc1N=N#N,COC(=O)CCc1ccccc1[N],suffix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
32,af,1af,2af,CCOC(=O)CCc1ccccc1N=N#N,CCOC(=O)CCc1ccccc1[N],suffix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
33,ag,1ag,2ag,CN(C)C(=O)CCc1ccccc1N=N#N,CN(C)C(=O)CCc1ccccc1[N],suffix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
34,ah,1ah,2ah,CCCCc1ccccc1N=N#N,CCCCc1ccccc1[N],suffix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
35,ai,1ai,2ai,N#N=Nc1ccccc1CCCCc2ccccc2,[N]c1ccccc1CCCCc2ccccc2,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
36,aj,1aj,2aj,N#N=Nc1ccccc1CCC2CC2,[N]c1ccccc1CCC2CC2,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
37,ak,1ak,2ak,N#N=Nc1ccccc1CCC2CCCC2,[N]c1ccccc1CCC2CCCC2,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
38,Al,1al,2al,N#N=Nc1ccccc1CCC2CCCCC2,[N]c1ccccc1CCC2CCCCC2,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
39,Am,1am,2am,N#N=Nc1ccccc1C2CCCC2,[N]c1ccccc1C2CCCC2,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
40,an,1an,2an,N#N=Nc1ccccc1C2=CCCC2,[N]c1ccccc1C2=CCCC2,prefix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
41,Ao,1ao,2ao,CC(Cc1ccccc1N=N#N)c2ccccc2,CC(Cc1ccccc1[N])c2ccccc2,suffix,N2,aryl-bound proximal azide N,free nitrene representation; Fe coordination is added in the constrained pose pipeline,terminal-azide pattern validated; RDKit atom-map and valence validation pending
